# Back Market GOOD-condition prices in USD, read off the site by the owner
# on 2026-09-19 (Back Market blocks automated fetching — see
# scripts/add-phone-models.cjs for why this file exists).
#
# Format:  Model name | capacity | USD price
#
#   node scripts/add-phone-models.cjs scripts/new-phone-prices.txt --dry-run
#   node scripts/add-phone-models.cjs scripts/new-phone-prices.txt
#
# NOT PRICED, still open:
#   iPhone Air — owner said it was not available on Back Market
#   Pixel 10 Pro Fold — not read out
#   S26 Ultra 1TB — not read out

# ---- iPhone 17 series -----------------------------------------------------
iPhone 17 | 256GB | 750
iPhone 17 | 512GB | 900
iPhone 17 Pro | 256GB | 994
iPhone 17 Pro | 512GB | 1145
iPhone 17 Pro | 1TB | 1345
iPhone 17 Pro Max | 256GB | 1185
iPhone 17 Pro Max | 512GB | 1216
iPhone 17 Pro Max | 1TB | 1488
iPhone 17 Pro Max | 2TB | 1610

# ---- Google Pixel 10 series -----------------------------------------------
Pixel 10 | 128GB | 615
Pixel 10 | 256GB | 700
Pixel 10 Pro | 128GB | 650
Pixel 10 Pro | 256GB | 765
Pixel 10 Pro | 512GB | 879
Pixel 10 Pro | 1TB | 1036
Pixel 10 Pro XL | 256GB | 685
Pixel 10 Pro XL | 512GB | 880
Pixel 10 Pro XL | 1TB | 1040

# ---- Pixel 9a -------------------------------------------------------------
Pixel 9a | 128GB | 305
Pixel 9a | 256GB | 415

# ---- Samsung Galaxy S26 series --------------------------------------------
S26 | 128GB | 540
S26 | 256GB | 650
S26 | 512GB | 720
S26+ | 256GB | 700
S26+ | 512GB | 780
S26 Ultra | 256GB | 949
S26 Ultra | 512GB | 1000
